player_name,pitch_type,swings,avg_dev_bat_speed_z,avg_dev_attack_angle_z,avg_dev_swing_path_tilt_z,avg_dev_attack_direction_z
"Montero, Keider",SL,142,0.043,-0.013,-0.135,0.05
"Kirby, George",FF,339,0.042,-0.087,-0.002,-0.128
"Kranick, Max",FF,114,0.042,0.059,-0.043,0.126
"Bradley, Taj",FC,211,0.041,0.035,0.07,0.078
"Baker, Bryan",FF,290,0.041,-0.101,0.123,-0.056
"Brown, Hunter",FF,449,0.041,0.044,0.151,0.011
"Bachar, Lake",SL,125,0.041,0.032,-0.002,-0.112
"Cameron, Noah",CU,121,0.041,0.258,0.043,0.378
"Hamilton, Ian",SL,118,0.04,0.194,-0.014,0.037
"Rasmussen, Drew",FC,324,0.04,-0.019,-0.006,0.008
"Meyer, Max",FF,106,0.04,0.241,0.026,-0.019
"Bassitt, Chris",CU,172,0.04,0.134,-0.152,0.19
"Bubic, Kris",SL,102,0.04,0.208,-0.012,0.262
"Rasmussen, Drew",SI,222,0.04,-0.142,-0.066,-0.101
"Ragans, Cole",FF,271,0.04,-0.031,0.085,0.051
"Skenes, Paul",FF,593,0.04,0.017,-0.031,-0.014
"Woo, Bryan",SI,329,0.039,-0.002,0.03,-0.03
"Corbin, Patrick",SL,353,0.038,0.184,0.172,0.123
"Burke, Brock",SL,116,0.038,-0.081,0.207,-0.06
"Holmes, Grant",SL,366,0.037,0.072,-0.127,-0.081
"Liberatore, Matthew",SI,117,0.037,-0.148,0.245,0.044
"Hernández, Carlos",FF,201,0.037,-0.063,0.002,0.008
"Bassitt, Chris",SI,526,0.037,0.025,-0.101,0.045
"Javier, Cristian",FF,115,0.037,0.155,0.028,0.101
"Peralta, Freddy",FF,781,0.037,0.037,0.037,0.059
"Ross, Joe",SI,100,0.036,-0.025,-0.016,-0.023
"Kremer, Dean",SI,229,0.036,-0.025,-0.01,-0.047
"Alvarado, Elvis",FF,173,0.036,-0.128,-0.015,-0.174
"Ortiz, Luis",SL,183,0.035,0.045,-0.041,-0.061
"Morgan, David",FF,148,0.035,-0.072,-0.045,-0.114
"Nelson, Ryne",SL,139,0.035,-0.154,-0.183,-0.125
"Cease, Dylan",SL,608,0.035,-0.095,0.001,-0.07
"deGrom, Jacob",SL,425,0.035,-0.032,-0.143,-0.172
"Boyd, Matthew",SL,178,0.035,0.105,0.167,0.1
"Ohtani, Shohei",FF,215,0.035,0.052,0.066,-0.112
"Barlow, Scott",ST,136,0.034,0.178,0.072,0.106
"Sterner, Justin",FF,275,0.034,-0.195,-0.068,-0.113
"Brown, McCade",FF,129,0.034,0.141,0.068,0.118
"Koenig, Jared",SI,247,0.033,0.119,0.025,0.019
"Santana, Dennis",SL,252,0.031,-0.011,0.027,-0.039
"Palmquist, Carson",FF,165,0.031,0.093,0.044,0.211
"Holmes, Clay",SI,435,0.03,0.088,-0.02,-0.008
"Martinez, Nick",SI,201,0.03,-0.014,0.109,0.121
"Falter, Bailey",FF,454,0.03,0.054,0.083,0.122
"Sánchez, Cristopher",SL,220,0.029,0.152,0.106,0.061
"Buehler, Walker",FC,180,0.028,-0.093,-0.052,-0.034
"Sale, Chris",FF,373,0.028,0.152,0.014,0.09
"Fedde, Erick",FC,271,0.028,-0.076,-0.033,-0.051
"Hendricks, Kyle",CH,504,0.028,-0.08,-0.114,-0.065
"Webb, Jacob",FF,217,0.028,0.083,0.005,-0.004
"Leiter, Jack",FF,484,0.028,-0.022,-0.033,-0.048
"Eflin, Zach",CH,101,0.027,0.101,-0.169,-0.181
"Jacob, Alek",FF,108,0.027,0.134,-0.052,0.158
"Horton, Cade",ST,194,0.026,0.026,-0.096,0.04
"Erceg, Lucas",SL,120,0.026,0.092,-0.142,0.084
"Harrison, Kyle",FF,179,0.026,0.215,0.138,0.086
"Rutledge, Jackson",SI,188,0.025,-0.162,0.067,0.03
"Kelly, Merrill",CH,417,0.025,-0.094,-0.01,-0.192
"Houser, Adrian",CH,138,0.025,0.096,-0.114,0.028
"Mahle, Tyler",FF,302,0.025,-0.127,-0.045,-0.069
"Nelson, Ryne",FF,812,0.025,-0.02,0.053,-0.059
"Anderson, Grant",ST,183,0.024,-0.089,-0.211,-0.07
"Gallen, Zac",FF,539,0.023,0.059,-0.061,0.02
"Weaver, Luke",CH,162,0.023,0.034,-0.035,0.022
"Milner, Hoby",SI,150,0.023,0.269,-0.019,0.089
"Jackson, Luke",FF,102,0.022,0.057,0.011,0.134
"Holton, Tyler",SI,112,0.022,0.103,-0.077,0.02
"Ashby, Aaron",SI,241,0.022,-0.01,0.037,0.061
"Rodríguez, Randy",SL,195,0.022,0.096,-0.034,0.084
"Bibee, Tanner",ST,174,0.021,-0.162,-0.092,-0.187
"Rodríguez, Randy",FF,195,0.021,0.086,0.088,0.037
"Morillo, Juan",FF,133,0.02,-0.122,-0.072,-0.121
"Helsley, Ryan",FF,219,0.02,-0.058,-0.032,-0.007
"Warren, Will",SI,236,0.02,0.019,-0.021,0.087
"Bibee, Tanner",FC,287,0.019,0.017,-0.098,0.074
"Scott, Tayler",FF,102,0.018,-0.1,0.018,-0.003
"Blewett, Scott",SL,154,0.018,-0.184,-0.138,-0.053
"Miller, Bryce",FS,114,0.017,0.034,-0.136,-0.114
"Patrick, Chad",FC,429,0.017,-0.052,0.177,-0.048
"Bednar, David",FF,248,0.017,-0.113,0.058,-0.071
"Jobe, Jackson",SL,103,0.016,0.059,0.01,-0.055
"Singer, Brady",SI,392,0.016,0.006,0.047,0.011
"Irvin, Jake",SI,283,0.016,0.093,-0.139,0.101
"Walker, Taijuan",FC,248,0.016,-0.013,-0.002,-0.002
"Lorenzen, Michael",SI,172,0.016,0.048,-0.004,0.002
"Armstrong, Shawn",SI,110,0.015,0.016,0.092,-0.081
"Montero, Keider",FF,202,0.014,0.011,0.061,-0.058
"Morton, Charlie",CH,123,0.014,0.233,0.017,0.039
"Ray, Robbie",FF,785,0.014,-0.105,0.048,-0.01
"Blewett, Scott",FF,103,0.014,-0.017,0.024,0.022
"Skenes, Paul",ST,184,0.014,-0.068,-0.204,-0.02
"Petersen, Michael",FF,115,0.013,-0.141,0.033,-0.095
"Williams, Trevor",ST,147,0.013,0.274,0.108,0.063
"Cameron, Noah",CH,183,0.013,0.107,0.094,0.235
"Enns, Dietrich",FF,191,0.013,-0.047,-0.032,-0.054
"Bender, Anthony",ST,131,0.012,0.039,-0.065,-0.029
"Hendricks, Kyle",SI,445,0.012,0.054,-0.03,0.022
"Dollander, Chase",CU,131,0.012,-0.125,-0.119,0.086
"Wilson, Steven",FF,144,0.012,-0.002,-0.009,-0.012
"Bellozo, Valente",FF,185,0.012,-0.116,0.057,-0.176
"Iglesias, Raisel",CH,148,0.012,-0.054,-0.146,-0.123
