player_name,pitch_type,swings,avg_physics,avg_xwoba,whiff_rate,avg_launch_speed,avg_chase_deviation,outside_zone_pitches,raw_chase_rate,physics_z,chase_z,discomfort_score
"Casparius, Ben",ST,180,-0.2929,0.2728,0.2,79.5037,0.0086,188,0.3245,-0.4346,-0.014,-0.0104
"Castillo, José",SL,123,-0.5299,0.2617,0.2602,85.1819,0.1077,120,0.4167,-0.7899,1.7367,0.0298
"Castillo, Luis",CH,146,-0.5372,0.3484,0.2192,78.881,0.0123,233,0.3391,-0.8009,0.0513,-0.017
"Castillo, Luis",FF,798,-0.2861,0.2514,0.2368,84.0197,0.0319,624,0.2708,-0.4244,0.3985,0.0012
"Castillo, Luis",SI,308,-0.7205,0.3508,0.0974,85.9904,0.0111,262,0.2557,-1.0756,0.0298,-0.024
"Castillo, Luis",SL,269,0.2012,0.2598,0.3346,83.0634,-0.0161,371,0.3127,0.3062,-0.4495,-0.0054
"Cavalli, Cade",FF,111,-0.7016,0.3016,0.2162,86.3547,0.0407,82,0.2561,-1.0474,0.553,-0.0089
"Cease, Dylan",FF,651,0.2587,0.2578,0.2289,83.6604,0.0471,659,0.2792,0.3924,0.6665,0.0275
"Cease, Dylan",SL,608,0.1573,0.2358,0.4342,80.3754,0.0352,684,0.3567,0.2404,0.4563,0.0182
"Cecconi, Slade",CU,115,-0.0105,0.2172,0.2957,80.825,-0.0267,180,0.2722,-0.0112,-0.6368,-0.0179
"Cecconi, Slade",FF,404,-0.0819,0.3836,0.146,86.1256,-0.0555,332,0.1777,-0.1182,-1.145,-0.0344
"Cecconi, Slade",SI,103,0.7527,0.3834,0.0388,84.1967,-0.1158,74,0.1486,1.133,-2.2101,-0.035
"Cecconi, Slade",SL,166,-0.1855,0.2742,0.3313,85.1812,-0.051,183,0.2787,-0.2735,-1.067,-0.0358
"Chafin, Andrew",SL,107,1.2126,0.1543,0.4112,75.5481,0.0584,160,0.3812,1.8225,0.8653,0.066
"Chandler, Bubba",FF,128,0.4452,0.3775,0.2656,86.5815,0.0707,111,0.3153,0.672,1.0826,0.0455
"Chapman, Aroldis",FF,207,-0.3567,0.2588,0.2415,82.1562,0.0431,139,0.2806,-0.5303,0.5962,0.0043
"Chapman, Aroldis",SI,166,-0.0675,0.1573,0.3072,82.9304,0.084,140,0.3357,-0.0966,1.3172,0.0342
